iter	Accuracy	MultiClass
173	0.967949678	0.1095651161
174	0.9677499875	0.1090747955
175	0.9681493685	0.1082641483
176	0.9682492137	0.1079593573
177	0.968349059	0.1077935065
178	0.9685487494	0.1071221585
179	0.9688482852	0.1067643995
180	0.9688482852	0.1066234925
181	0.9690978983	0.1062765248
182	0.9690479756	0.1058819903
183	0.9690978983	0.1056776645
184	0.9690479756	0.1052858643
185	0.9691977435	0.1049941557
186	0.9692476661	0.1047444568
187	0.9694972792	0.1043700085
188	0.9699965054	0.1039635309
189	0.9699465828	0.1036515902
190	0.9698966602	0.1034440047
191	0.9701961959	0.1031136068
192	0.9701961959	0.1028632345
193	0.970445809	0.1023230162
194	0.9705456542	0.1019241328
195	0.9706954221	0.1013338173
196	0.9706954221	0.1010094187
197	0.9709450352	0.1008306666
198	0.9712445709	0.1004912062
199	0.9710948031	0.1002495738
200	0.9711447257	0.1001451977
201	0.9712944935	0.09998706952
202	0.9715441066	0.0994186846
203	0.9715441066	0.09926637668
204	0.971494184	0.09881154127
205	0.9717937197	0.09827482666
206	0.9717937197	0.0981722651
207	0.9719434876	0.09791754283
208	0.9720932555	0.09758093532
209	0.9721931007	0.09738244931
210	0.9721931007	0.09727627819
211	0.9722430233	0.09715508148
212	0.9723428686	0.09697324567
213	0.9724926364	0.09659077099
214	0.9724926364	0.09629429269
215	0.9727921721	0.09585121532
216	0.9729918626	0.09542120894
217	0.9729918626	0.09532389123
218	0.9730417852	0.09496674794
219	0.9730917079	0.09462403615
220	0.9730917079	0.09439928711
221	0.9732414757	0.09387559342
222	0.9732414757	0.09350365046
223	0.9732414757	0.09324888794
224	0.9735410114	0.09268090119
225	0.9735410114	0.09236403932
226	0.9736907793	0.09206754302
227	0.9738904698	0.09191163947
228	0.9739403924	0.09176617362
229	0.9742898507	0.09134806547
230	0.974389696	0.09116754508
231	0.9746393091	0.09101437294
232	0.9744895412	0.0908346099
233	0.9745893865	0.09055121329
234	0.9746892317	0.09045344087
235	0.9746892317	0.09020509864
236	0.9744895412	0.09005373609
237	0.9746892317	0.08996928782
238	0.9746892317	0.08981749207
239	0.9748889222	0.08940906396
240	0.97503869	0.08923579666
241	0.97503869	0.08910295356
242	0.9750886127	0.0889337988
243	0.9752383805	0.08863521865
244	0.9752883031	0.0884065903
245	0.9755379162	0.08817274776
246	0.9756377615	0.08807354155
247	0.9756377615	0.0878257057
248	0.9759872198	0.08751723955
249	0.9759872198	0.08730608536
250	0.9761869103	0.08697046501
251	0.9762368329	0.08664522191
252	0.9764365234	0.0865447584
253	0.9764365234	0.08618339652
254	0.976486446	0.08596077237
255	0.9767360591	0.08570401068
256	0.9768359043	0.08534537273
257	0.976885827	0.08506607325
258	0.9768359043	0.08485436811
259	0.9768359043	0.08459606137
260	0.9769856722	0.08448406836
261	0.9771853627	0.08413350766
262	0.9770355948	0.08376955879
263	0.9771354401	0.08358576331
264	0.9773850532	0.0831226924
265	0.9774848984	0.0829058019
266	0.977534821	0.08277492573
267	0.9776346663	0.08244486641
268	0.9776346663	0.08224474237
269	0.9776845889	0.08212265265
270	0.9777345115	0.08181532464
271	0.9777844341	0.0817022066
272	0.9778842794	0.08162294335
273	0.9781338925	0.08142167199
274	0.9780839698	0.08133865104
275	0.9780839698	0.0810790951
276	0.9783835056	0.08091292465
277	0.9784334282	0.08068735524
278	0.9784334282	0.0805489911
279	0.9784334282	0.0802642904
280	0.978583196	0.08014228673
281	0.9786830413	0.0799282907
282	0.9788328091	0.07968726562
283	0.9791822675	0.07948465015
284	0.9792821127	0.07936376786
285	0.9794318806	0.07920351032
286	0.9796814937	0.07894605739
287	0.9795816484	0.07871860181
288	0.9797314163	0.07849179943
289	0.9796315711	0.07832202541
290	0.9797813389	0.07812521219
291	0.9798811842	0.07801637571
292	0.980030952	0.07780485644
293	0.9801307973	0.07764259695
294	0.9801307973	0.07739680045
295	0.9802805651	0.07723146136
296	0.9803804104	0.07715198641
297	0.980430333	0.07697263521
298	0.9805801008	0.07687525448
299	0.9806300235	0.07679462435
300	0.9806300235	0.07646865909
301	0.9806799461	0.07628682936
302	0.9808297139	0.07616958163
303	0.9806799461	0.07602547687
304	0.9811292497	0.07572837149
305	0.9811791723	0.07565409843
306	0.981079327	0.07539972763
307	0.9810294044	0.07520715159
308	0.981079327	0.07510600973
309	0.981079327	0.07497173707
310	0.9811791723	0.0748674119
311	0.9813289401	0.07469171784
312	0.981478708	0.07454781367
